split,class,filename,severity,anomalies,details
train,adenocarcinoma_left.lower.lobe_T2_N0_M0_Ib,ad19.png,critical,text_overlay|border_anomaly|bright_frame,{"top_bar_bright_fraction": 1.0; "bottom_bar_bright_fraction": 1.0; "left_bar_bright_fraction": 1.0; "right_bar_bright_fraction": 1.0; "text_regions": ["top_bar"; "bottom_bar"; "left_bar"; "right_bar"]; "top_border_mean_diff": 135.55; "top_uniform_border": 0.0; "bottom_border_mean_diff": 135.55; "bottom_uniform_border": 0.0; "left_border_mean_diff": 135.55; "left_uniform_border": 0.0; "right_border_mean_diff": 135.55; "right_uniform_border": 0.0; "anomalous_borders": ["top"; "bottom"; "left"; "right"]; "bright_border_fraction": 1.0}
train,adenocarcinoma_left.lower.lobe_T2_N0_M0_Ib,ad2.png,critical,text_overlay|possible_watermark,{"top_left_bright_mean": 169.85; "top_right_bright_mean": 152.36; "top_bar_bright_fraction": 0.8129; "bottom_bar_bright_fraction": 0.6891; "left_bar_bright_fraction": 0.5804; "right_bar_bright_fraction": 0.483; "text_regions": ["top_left"; "top_right"; "top_bar"; "bottom_bar"; "left_bar"; "right_bar"]; "highpass_ratio": 0.1631; "text_like_ratio": 0.7458}
train,adenocarcinoma_left.lower.lobe_T2_N0_M0_Ib,ad20.png,critical,text_overlay|possible_watermark,{"bottom_right_edge_density": 0.2056; "bottom_right_std": 69.69; "text_regions": ["bottom_right"]; "highpass_ratio": 0.127; "text_like_ratio": 0.5433}
train,adenocarcinoma_left.lower.lobe_T2_N0_M0_Ib,ad21.png,critical,text_overlay|border_anomaly|possible_watermark,{"bottom_bar_bright_fraction": 0.208; "left_bar_bright_fraction": 0.3081; "right_bar_bright_fraction": 0.3369; "text_regions": ["bottom_bar"; "left_bar"; "right_bar"]; "top_border_mean_diff": 93.24; "anomalous_borders": ["top"]; "highpass_ratio": 0.1767; "text_like_ratio": 0.655}
train,adenocarcinoma_left.lower.lobe_T2_N0_M0_Ib,ad22.png,critical,text_overlay|possible_watermark,{"bottom_right_edge_density": 0.1669; "bottom_right_std": 68.18; "text_regions": ["bottom_right"]; "highpass_ratio": 0.1235; "text_like_ratio": 0.5247}
train,adenocarcinoma_left.lower.lobe_T2_N0_M0_Ib,ad3.png,critical,colored_pixels|high_saturation|possible_watermark,{"colored_pixel_fraction": 0.03048; "high_saturation_fraction": 0.02495; "highpass_ratio": 0.1132; "text_like_ratio": 0.5315}
train,adenocarcinoma_left.lower.lobe_T2_N0_M0_Ib,ad4.png,critical,text_overlay|possible_watermark,{"top_bar_bright_fraction": 0.2972; "bottom_bar_bright_fraction": 0.4614; "left_bar_bright_fraction": 0.2149; "right_bar_bright_fraction": 0.4144; "text_regions": ["top_bar"; "bottom_bar"; "left_bar"; "right_bar"]; "highpass_ratio": 0.1662; "text_like_ratio": 0.6353}
train,adenocarcinoma_left.lower.lobe_T2_N0_M0_Ib,ad5.png,critical,text_overlay,{"bottom_left_bright_mean": 165.67; "bottom_right_bright_mean": 151.04; "top_bar_bright_fraction": 0.4656; "bottom_bar_bright_fraction": 0.6946; "left_bar_bright_fraction": 0.6585; "right_bar_bright_fraction": 0.5752; "text_regions": ["bottom_left"; "bottom_right"; "top_bar"; "bottom_bar"; "left_bar"; "right_bar"]}
train,adenocarcinoma_left.lower.lobe_T2_N0_M0_Ib,ad6.png,critical,text_overlay|possible_watermark,{"top_left_bright_mean": 178.76; "top_right_bright_mean": 180.23; "top_bar_bright_fraction": 0.7815; "bottom_bar_bright_fraction": 0.1738; "left_bar_bright_fraction": 0.3946; "right_bar_bright_fraction": 0.5441; "text_regions": ["top_left"; "top_right"; "top_bar"; "bottom_bar"; "left_bar"; "right_bar"]; "highpass_ratio": 0.1808; "text_like_ratio": 0.7112}
train,adenocarcinoma_left.lower.lobe_T2_N0_M0_Ib,ad7.png,critical,text_overlay|possible_watermark,{"bottom_right_bright_mean": 165.73; "bottom_bar_bright_fraction": 0.1578; "left_bar_bright_fraction": 0.1805; "right_bar_bright_fraction": 0.2985; "text_regions": ["bottom_right"; "bottom_bar"; "left_bar"; "right_bar"]; "highpass_ratio": 0.2166; "text_like_ratio": 0.7234}
train,adenocarcinoma_left.lower.lobe_T2_N0_M0_Ib,ad8.png,critical,text_overlay|possible_watermark,{"top_left_edge_density": 0.1575; "top_left_std": 80.32; "top_bar_bright_fraction": 0.2274; "bottom_bar_bright_fraction": 0.2991; "left_bar_bright_fraction": 0.184; "right_bar_bright_fraction": 0.3611; "text_regions": ["top_left"; "top_bar"; "bottom_bar"; "left_bar"; "right_bar"]; "highpass_ratio": 0.1901; "text_like_ratio": 0.7281}
train,adenocarcinoma_left.lower.lobe_T2_N0_M0_Ib,ad9.png,critical,text_overlay|bright_frame|possible_watermark,{"bottom_left_bright_mean": 166.16; "bottom_right_bright_mean": 170.08; "top_bar_bright_fraction": 0.357; "bottom_bar_bright_fraction": 0.5035; "left_bar_bright_fraction": 0.4558; "right_bar_bright_fraction": 0.4327; "text_regions": ["bottom_left"; "bottom_right"; "top_bar"; "bottom_bar"; "left_bar"; "right_bar"]; "bright_border_fraction": 0.3862; "highpass_ratio": 0.1932; "text_like_ratio": 0.6998}
train,large.cell.carcinoma_left.hilum_T2_N2_M0_IIIa,000031.png,warning,border_anomaly,{"top_border_mean_diff": 115.21; "left_border_mean_diff": 98.02; "right_border_mean_diff": 108.22; "anomalous_borders": ["top"; "left"; "right"]}
train,large.cell.carcinoma_left.hilum_T2_N2_M0_IIIa,000046.png,warning,border_anomaly,{"top_border_mean_diff": 115.15; "left_border_mean_diff": 86.4; "right_border_mean_diff": 109.76; "anomalous_borders": ["top"; "left"; "right"]}
train,large.cell.carcinoma_left.hilum_T2_N2_M0_IIIa,000066 (2).png,warning,border_anomaly,{"top_border_mean_diff": 89.81; "right_border_mean_diff": 91.99; "anomalous_borders": ["top"; "right"]}
train,large.cell.carcinoma_left.hilum_T2_N2_M0_IIIa,000072 (2).png,warning,border_anomaly,{"left_border_mean_diff": 85.31; "right_border_mean_diff": 83.32; "anomalous_borders": ["left"; "right"]}
train,large.cell.carcinoma_left.hilum_T2_N2_M0_IIIa,000078 (3).png,warning,border_anomaly,{"top_border_mean_diff": 84.51; "anomalous_borders": ["top"]}
train,large.cell.carcinoma_left.hilum_T2_N2_M0_IIIa,000078 (4).png,warning,border_anomaly,{"top_border_mean_diff": 83.45; "right_border_mean_diff": 84.73; "anomalous_borders": ["top"; "right"]}
train,large.cell.carcinoma_left.hilum_T2_N2_M0_IIIa,000094 (2).png,info,possible_watermark,{"highpass_ratio": 0.1036; "text_like_ratio": 0.4105}
train,large.cell.carcinoma_left.hilum_T2_N2_M0_IIIa,000104 (2).png,warning,border_anomaly,{"left_border_mean_diff": 80.68; "anomalous_borders": ["left"]}
train,large.cell.carcinoma_left.hilum_T2_N2_M0_IIIa,000105.png,warning,border_anomaly,{"top_border_mean_diff": 87.51; "anomalous_borders": ["top"]}
train,large.cell.carcinoma_left.hilum_T2_N2_M0_IIIa,000133.png,info,possible_watermark,{"highpass_ratio": 0.1002; "text_like_ratio": 0.4225}
train,large.cell.carcinoma_left.hilum_T2_N2_M0_IIIa,000137.png,warning,border_anomaly,{"top_border_mean_diff": 95.13; "anomalous_borders": ["top"]}
train,large.cell.carcinoma_left.hilum_T2_N2_M0_IIIa,000150.png,warning,border_anomaly,{"top_border_mean_diff": 94.6; "left_border_mean_diff": 106.51; "right_border_mean_diff": 111.03; "anomalous_borders": ["top"; "left"; "right"]}
train,large.cell.carcinoma_left.hilum_T2_N2_M0_IIIa,000154.png,warning,border_anomaly,{"top_border_mean_diff": 115.26; "right_border_mean_diff": 117.55; "anomalous_borders": ["top"; "right"]}
train,large.cell.carcinoma_left.hilum_T2_N2_M0_IIIa,000172.png,info,possible_watermark,{"highpass_ratio": 0.1131; "text_like_ratio": 0.4385}
train,large.cell.carcinoma_left.hilum_T2_N2_M0_IIIa,000173.png,info,possible_watermark,{"highpass_ratio": 0.1017; "text_like_ratio": 0.4141}
train,large.cell.carcinoma_left.hilum_T2_N2_M0_IIIa,di1.png,critical,colored_pixels|high_saturation|red_overlay|text_overlay|border_anomaly|colored_circle|colored_lines,{"colored_pixel_fraction": 0.01301; "high_saturation_fraction": 0.01067; "red_fraction": 0.0026; "right_bar_bright_fraction": 0.1926; "text_regions": ["right_bar"]; "top_border_mean_diff": 139.77; "bottom_border_mean_diff": 127.97; "left_border_mean_diff": 109.72; "right_border_mean_diff": 93.04; "anomalous_borders": ["top"; "bottom"; "left"; "right"]; "circle_count": 121; "colored_line_count": 10}
train,large.cell.carcinoma_left.hilum_T2_N2_M0_IIIa,l1.png,critical,colored_pixels|high_saturation|red_overlay|text_overlay|border_anomaly|colored_circle|colored_lines|possible_watermark,{"colored_pixel_fraction": 0.01713; "high_saturation_fraction": 0.01098; "red_fraction": 0.00267; "left_bar_bright_fraction": 0.2228; "right_bar_bright_fraction": 0.3259; "text_regions": ["left_bar"; "right_bar"]; "top_border_mean_diff": 133.85; "bottom_border_mean_diff": 123.64; "left_border_mean_diff": 85.95; "anomalous_borders": ["top"; "bottom"; "left"]; "circle_count": 10; "colored_line_count": 8; "highpass_ratio": 0.1684; "text_like_ratio": 0.6393}
train,large.cell.carcinoma_left.hilum_T2_N2_M0_IIIa,l2.png,warning,border_anomaly|possible_watermark,{"top_border_mean_diff": 103.9; "anomalous_borders": ["top"]; "highpass_ratio": 0.1578; "text_like_ratio": 0.5936}
train,large.cell.carcinoma_left.hilum_T2_N2_M0_IIIa,l3.png,critical,text_overlay|border_anomaly|possible_watermark,{"bottom_right_edge_density": 0.1688; "bottom_right_std": 52.95; "text_regions": ["bottom_right"]; "top_border_mean_diff": 82.1; "anomalous_borders": ["top"]; "highpass_ratio": 0.1774; "text_like_ratio": 0.6069}
train,large.cell.carcinoma_left.hilum_T2_N2_M0_IIIa,l4.png,warning,border_anomaly|possible_watermark,{"top_border_mean_diff": 81.72; "left_border_mean_diff": 95.22; "right_border_mean_diff": 102.33; "anomalous_borders": ["top"; "left"; "right"]; "highpass_ratio": 0.1863; "text_like_ratio": 0.6665}
train,large.cell.carcinoma_left.hilum_T2_N2_M0_IIIa,l5.png,warning,border_anomaly,{"top_border_mean_diff": 124.03; "bottom_border_mean_diff": 131.85; "left_border_mean_diff": 97.7; "right_border_mean_diff": 97.5; "anomalous_borders": ["top"; "bottom"; "left"; "right"]}
train,large.cell.carcinoma_left.hilum_T2_N2_M0_IIIa,l6.png,critical,text_overlay|border_anomaly|possible_watermark,{"bottom_left_edge_density": 0.1744; "bottom_left_std": 63.29; "bottom_right_edge_density": 0.1994; "bottom_right_std": 70.07; "text_regions": ["bottom_left"; "bottom_right"]; "top_border_mean_diff": 89.26; "anomalous_borders": ["top"]; "highpass_ratio": 0.2084; "text_like_ratio": 0.6858}
train,normal,10 (2) - Copy.png,info,possible_watermark,{"highpass_ratio": 0.1134; "text_like_ratio": 0.4183}
train,normal,10 (2).png,info,possible_watermark,{"highpass_ratio": 0.1134; "text_like_ratio": 0.4183}
train,normal,10 - Copy (2) - Copy.png,info,possible_watermark,{"highpass_ratio": 0.1132; "text_like_ratio": 0.4181}
train,normal,10 - Copy (2).png,info,possible_watermark,{"highpass_ratio": 0.1132; "text_like_ratio": 0.4181}
train,normal,10 - Copy (3).png,info,possible_watermark,{"highpass_ratio": 0.1132; "text_like_ratio": 0.4181}
train,normal,10 - Copy - Copy.png,info,possible_watermark,{"highpass_ratio": 0.1132; "text_like_ratio": 0.4181}
train,normal,10 - Copy.png,info,possible_watermark,{"highpass_ratio": 0.1132; "text_like_ratio": 0.4181}
train,normal,10.png,info,possible_watermark,{"highpass_ratio": 0.1132; "text_like_ratio": 0.4181}
train,normal,11 (2) - Copy.png,critical,text_overlay|border_anomaly|possible_watermark,{"bottom_left_edge_density": 0.21; "bottom_left_std": 51.96; "bottom_bar_bright_fraction": 0.177; "left_bar_bright_fraction": 0.4323; "right_bar_bright_fraction": 0.4462; "text_regions": ["bottom_left"; "bottom_bar"; "left_bar"; "right_bar"]; "top_border_mean_diff": 90.7; "anomalous_borders": ["top"]; "highpass_ratio": 0.123; "text_like_ratio": 0.5635}
train,normal,11 (2).png,critical,text_overlay|border_anomaly|possible_watermark,{"bottom_left_edge_density": 0.21; "bottom_left_std": 51.96; "bottom_bar_bright_fraction": 0.177; "left_bar_bright_fraction": 0.4323; "right_bar_bright_fraction": 0.4462; "text_regions": ["bottom_left"; "bottom_bar"; "left_bar"; "right_bar"]; "top_border_mean_diff": 90.7; "anomalous_borders": ["top"]; "highpass_ratio": 0.123; "text_like_ratio": 0.5635}
train,normal,11 - Copy (2) - Copy.png,critical,text_overlay|possible_watermark,{"bottom_left_edge_density": 0.2569; "bottom_left_std": 50.22; "bottom_bar_bright_fraction": 0.2215; "left_bar_bright_fraction": 0.4332; "right_bar_bright_fraction": 0.4151; "text_regions": ["bottom_left"; "bottom_bar"; "left_bar"; "right_bar"]; "highpass_ratio": 0.1148; "text_like_ratio": 0.5507}
