mean,std,min,max,p01,p50,p99,height,width,path
70.22106170654297,50.749168395996094,0.0,255.0,0.0,97.0,153.0,237,413,data\raw\chest-ctscan-images\Data\valid\large.cell.carcinoma_left.hilum_T2_N2_M0_IIIa\000111.png
94.40348052978516,44.824546813964844,0.0,255.0,0.0,109.0,178.0,181,370,data\raw\chest-ctscan-images\Data\valid\large.cell.carcinoma_left.hilum_T2_N2_M0_IIIa\000112.png
102.51573944091797,53.745052337646484,0.0,255.0,0.0,122.0,182.0,210,337,data\raw\chest-ctscan-images\Data\valid\large.cell.carcinoma_left.hilum_T2_N2_M0_IIIa\000113 (2).png
74.97823333740234,47.999977111816406,0.0,255.0,0.0,99.0,152.0,213,393,data\raw\chest-ctscan-images\Data\valid\large.cell.carcinoma_left.hilum_T2_N2_M0_IIIa\000113.png
72.0206298828125,55.3915901184082,0.0,255.0,0.0,73.0,172.0,259,376,data\raw\chest-ctscan-images\Data\valid\large.cell.carcinoma_left.hilum_T2_N2_M0_IIIa\000114.png
74.6481704711914,43.6380615234375,0.0,255.0,0.0,92.0,144.0,279,399,data\raw\chest-ctscan-images\Data\valid\large.cell.carcinoma_left.hilum_T2_N2_M0_IIIa\000115 (3).png
62.25660705566406,53.674312591552734,0.0,255.0,0.0,40.0,158.0,297,390,data\raw\chest-ctscan-images\Data\valid\large.cell.carcinoma_left.hilum_T2_N2_M0_IIIa\000115.png
66.87391662597656,54.6034049987793,0.0,255.0,0.0,53.0,172.0,267,369,data\raw\chest-ctscan-images\Data\valid\large.cell.carcinoma_left.hilum_T2_N2_M0_IIIa\000116.png
66.12616729736328,50.4472541809082,0.0,255.0,0.0,93.0,156.0,202,409,data\raw\chest-ctscan-images\Data\valid\large.cell.carcinoma_left.hilum_T2_N2_M0_IIIa\000118 (2).png
64.48432922363281,52.95612335205078,0.0,255.0,0.0,51.0,167.24000549316406,247,391,data\raw\chest-ctscan-images\Data\valid\large.cell.carcinoma_left.hilum_T2_N2_M0_IIIa\000120.png
74.9876480102539,53.796173095703125,0.0,255.0,0.0,103.0,165.0,273,355,data\raw\chest-ctscan-images\Data\valid\large.cell.carcinoma_left.hilum_T2_N2_M0_IIIa\000122.png
71.71746063232422,48.72441482543945,0.0,255.0,0.0,99.0,158.0,220,358,data\raw\chest-ctscan-images\Data\valid\large.cell.carcinoma_left.hilum_T2_N2_M0_IIIa\000126.png
64.82929992675781,48.09226608276367,0.0,255.0,0.0,91.0,146.0,209,396,data\raw\chest-ctscan-images\Data\valid\large.cell.carcinoma_left.hilum_T2_N2_M0_IIIa\000128.png
62.874446868896484,50.09891891479492,0.0,255.0,0.0,92.0,148.0,213,401,data\raw\chest-ctscan-images\Data\valid\large.cell.carcinoma_left.hilum_T2_N2_M0_IIIa\000130.png
71.65127563476562,53.16839599609375,0.0,255.0,0.0,86.0,173.0,238,338,data\raw\chest-ctscan-images\Data\valid\large.cell.carcinoma_left.hilum_T2_N2_M0_IIIa\000131.png
126.96405029296875,61.17753219604492,48.0,255.0,61.0,101.0,254.0,512,512,data\raw\chest-ctscan-images\Data\valid\normal\003828_02_01_174.png
38.57722091674805,58.50554275512695,0.0,255.0,0.0,0.0,255.0,512,512,data\raw\chest-ctscan-images\Data\valid\normal\004007_01_01_519.png
112.6220703125,58.3792839050293,29.0,255.0,61.0,80.0,255.0,512,512,data\raw\chest-ctscan-images\Data\valid\normal\004162_01_01_150.png
74.09474182128906,84.39179992675781,0.0,255.0,0.0,4.0,255.0,481,617,data\raw\chest-ctscan-images\Data\valid\normal\4 (2).png
72.43771362304688,84.47500610351562,0.0,255.0,0.0,2.0,255.0,495,615,data\raw\chest-ctscan-images\Data\valid\normal\4 - Copy (2).png
113.53829193115234,76.57112884521484,31.0,255.0,40.0,69.0,255.0,506,850,data\raw\chest-ctscan-images\Data\valid\normal\5.png
84.53522491455078,86.26446533203125,0.0,255.0,0.0,25.0,247.0,476,581,data\raw\chest-ctscan-images\Data\valid\normal\6 - Copy (2) - Copy.png
53.874229431152344,79.59284210205078,0.0,255.0,0.0,10.0,245.0,552,800,data\raw\chest-ctscan-images\Data\valid\normal\6 - Copy (3).png
84.53522491455078,86.26446533203125,0.0,255.0,0.0,25.0,247.0,476,581,data\raw\chest-ctscan-images\Data\valid\normal\6 - Copy.png
135.1961669921875,83.82012176513672,0.0,255.0,0.0,103.0,255.0,555,731,data\raw\chest-ctscan-images\Data\valid\normal\7 - Copy (2).png
99.7104721069336,92.19469451904297,0.0,255.0,0.0,69.0,254.0,627,940,data\raw\chest-ctscan-images\Data\valid\normal\7 - Copy (3).png
99.7104721069336,92.19469451904297,0.0,255.0,0.0,69.0,254.0,627,940,data\raw\chest-ctscan-images\Data\valid\normal\7.png
115.69242858886719,89.16304779052734,0.0,255.0,4.0,75.0,255.0,577,800,data\raw\chest-ctscan-images\Data\valid\normal\8 - Copy (3).png
73.58267974853516,48.89995574951172,0.0,255.0,0.0,97.0,151.0,256,438,data\raw\chest-ctscan-images\Data\valid\squamous.cell.carcinoma_left.hilum_T1_N2_M0_IIIa\000108 (3).png
80.53702545166016,63.66836929321289,0.0,255.0,0.0,81.0,190.0,265,350,data\raw\chest-ctscan-images\Data\valid\squamous.cell.carcinoma_left.hilum_T1_N2_M0_IIIa\000110 (6).png
81.89193725585938,57.43366241455078,0.0,255.0,0.0,112.0,180.0,248,350,data\raw\chest-ctscan-images\Data\valid\squamous.cell.carcinoma_left.hilum_T1_N2_M0_IIIa\000111.png
63.31072235107422,54.80853271484375,0.0,255.0,0.0,39.0,164.0,248,392,data\raw\chest-ctscan-images\Data\valid\squamous.cell.carcinoma_left.hilum_T1_N2_M0_IIIa\000112.png
84.16214752197266,43.19093704223633,0.0,255.0,0.0,100.0,170.0,241,401,data\raw\chest-ctscan-images\Data\valid\squamous.cell.carcinoma_left.hilum_T1_N2_M0_IIIa\000114 (4).png
89.33694458007812,62.870365142822266,0.0,255.0,0.0,108.0,193.0,265,324,data\raw\chest-ctscan-images\Data\valid\squamous.cell.carcinoma_left.hilum_T1_N2_M0_IIIa\000114 (6).png
81.06310272216797,51.06265640258789,0.0,255.0,0.0,103.0,165.0,284,438,data\raw\chest-ctscan-images\Data\valid\squamous.cell.carcinoma_left.hilum_T1_N2_M0_IIIa\000115 (2).png
83.78439331054688,53.24904251098633,0.0,255.0,0.0,112.0,171.0,263,403,data\raw\chest-ctscan-images\Data\valid\squamous.cell.carcinoma_left.hilum_T1_N2_M0_IIIa\000115 (5).png
72.26104736328125,46.6138916015625,0.0,255.0,0.0,94.0,151.0,308,423,data\raw\chest-ctscan-images\Data\valid\squamous.cell.carcinoma_left.hilum_T1_N2_M0_IIIa\000116 (2).png
62.45744705200195,39.59563446044922,0.0,255.0,0.0,81.0,142.0,271,440,data\raw\chest-ctscan-images\Data\valid\squamous.cell.carcinoma_left.hilum_T1_N2_M0_IIIa\000117 (4).png
71.25872039794922,56.59872817993164,0.0,255.0,0.0,82.0,169.0,245,363,data\raw\chest-ctscan-images\Data\valid\squamous.cell.carcinoma_left.hilum_T1_N2_M0_IIIa\000117 (6).png
49.0586051940918,25.165023803710938,0.0,255.0,0.0,59.0,100.0,295,378,data\raw\chest-ctscan-images\Data\valid\squamous.cell.carcinoma_left.hilum_T1_N2_M0_IIIa\000118 (4).png
72.5758285522461,40.084232330322266,0.0,255.0,0.0,89.0,139.0,231,410,data\raw\chest-ctscan-images\Data\valid\squamous.cell.carcinoma_left.hilum_T1_N2_M0_IIIa\000118 (5).png
78.30313110351562,47.98988342285156,0.0,255.0,0.0,101.0,157.0,266,379,data\raw\chest-ctscan-images\Data\valid\squamous.cell.carcinoma_left.hilum_T1_N2_M0_IIIa\000119 (5).png
72.02448272705078,50.195011138916016,0.0,255.0,0.0,99.0,155.0,236,368,data\raw\chest-ctscan-images\Data\valid\squamous.cell.carcinoma_left.hilum_T1_N2_M0_IIIa\000119.png
